Name,Status,Rows b.p.,Cols b.p.,Rows a.p.,Cols a.p.,Nonzeros,Density,Relative Infeas,Relative Compl,Primal Objective,Dual Objetive,Max Add. Corr.,Iters,CPU Time [secs]
netlib-pilot.ja.mps,0,940,2267,810,1804,47924,1.448530e-01,5.241000e-10,6.270000e-08,-6.113136e+03,-6.113137e+03,0,29,2.000000e-01
netlib-ship08l.mps,0,778,4363,470,3121,4442,3.809000e-02,4.403000e-12,1.320000e-10,1.909055e+06,1.909055e+06,0,14,3.000000e-02
netlib-bnl2.mps,0,2324,4486,1964,4008,81275,4.163200e-02,1.414000e-10,4.870000e-08,1.811237e+03,1.811237e+03,0,33,3.100000e-01
netlib-nesm.mps,0,662,3105,654,2922,21776,1.002960e-01,2.179000e-13,1.390000e-07,1.407604e+07,1.407603e+07,0,25,1.200000e-01
netlib-cycle.mps,0,1903,3371,1420,2773,56102,5.494100e-02,1.507000e-12,1.380000e-09,-5.226393e+00,-5.226393e+00,0,23,1.600000e-01
netlib-ship12l.mps,0,1151,5533,610,4171,5506,2.795500e-02,8.393000e-13,2.160000e-11,1.470188e+06,1.470188e+06,0,15,4.000000e-02
netlib-degen3.mps,0,1503,2604,1503,2604,120906,1.063780e-01,6.919000e-09,3.730000e-08,-9.872940e+02,-9.872940e+02,0,16,5.000000e-01
netlib-greenbea.mps,14,2392,5598,1933,4164,49055,2.574000e-02,1.260000e-06,3.280000e-07,-7.255526e+07,-7.255527e+07,0,50,4.400000e-01
netlib-greenbeb.mps,14,2392,5598,1932,4154,47783,2.508500e-02,1.852000e-05,1.560000e-07,-4.302258e+06,-4.302260e+06,0,40,3.500000e-01
netlib-80bau3b.mps,0,2262,12061,2140,11066,41367,1.759800e-02,1.335000e-13,7.130000e-07,9.872244e+05,9.872237e+05,0,36,3.100000e-01
netlib-d2q06c.mps,0,2171,5831,2132,5728,137349,5.996500e-02,1.216000e-09,5.020000e-08,1.227842e+05,1.227842e+05,0,27,5.400000e-01
netlib-woodw.mps,0,1098,8418,708,5364,30027,1.183930e-01,2.299000e-11,1.570000e-09,1.304476e+00,1.304476e+00,0,30,1.800000e-01
netlib-d6cube.mps,0,415,6184,403,5443,54840,6.728510e-01,1.221000e-11,7.410000e-08,3.154917e+02,3.154917e+02,0,17,2.200000e-01
netlib-pilot.mps,0,1441,4860,1368,4543,200812,2.138780e-01,3.143000e-12,4.500000e-07,-5.574897e+02,-5.574897e+02,0,34,1.300000e+00
netlib-dfl001.mps,0,6071,12230,5984,12143,1638085,9.132500e-02,6.783000e-09,3.240000e-07,1.126640e+07,1.126640e+07,3,45,2.443000e+01
netlib-wood1p.mps,0,244,2595,171,1718,11645,7.906360e-01,1.281000e-10,1.570000e-15,1.442902e+00,1.442902e+00,0,22,3.400000e-01
netlib-fit2p.mps,0,3000,13525,3000,13525,3000,3.330000e-04,9.389000e-11,4.630000e-07,6.846432e+04,6.846424e+04,0,20,5.400000e-01
netlib-pilot87.mps,0,2030,6680,1971,6373,425654,2.186290e-01,3.055000e-13,3.360000e-07,3.017104e+02,3.017103e+02,1,29,3.350000e+00
netlib-fit2d.mps,0,25,10524,25,10524,324,9.968000e-01,2.396000e-12,3.820000e-07,-6.846427e+04,-6.846432e+04,0,22,7.100000e-01
netlib-maros-r7.mps,0,3136,9408,2152,7440,534188,2.302310e-01,5.342000e-15,1.060000e-11,1.497185e+06,1.497185e+06,1,14,1.610000e+00
